line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
47,70,Apiza,"ALLEGRO_TTF_NO_KERNING - Do not use any kerning even if the font file supports it.\n\nALLEGRO_TTF_MONOCHROME - Load as a monochrome font (which means no anti-aliasing of the font is done).\n\nALLEGRO_TTF_NO_AUTOHINT - Disable the Auto Hinter which is enabled by default in newer versions of FreeType. Since: 5.0.6, 5.1.2",INFORM,69,CONT,functionality directives structure environment,al_load_font,
48,71,Programmer,How can I free a font?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
49,72,Apiza,al_destroy_font\n\n,INFORM,71,POS,basic,al_destroy_font,
49,73,Apiza,```void al_destroy_font(ALLEGRO_FONT *f)```\n\n,INFORM,72,CONT,basic,al_destroy_font,
49,74,Apiza,Frees the memory being used by a font structure. Does nothing if passed NULL.,INFORM,73,CONT,functionality,al_destroy_font,
50,75,Programmer,What are the values x and y in al_draw_text?,ELICIT-INFORM,54,FOL,functionality,al_draw_text,
51,76,Programmer,What are possible values for ALLEGRO_COLOR?,ELICIT-INFORM,54,FOL,directives,ALLEGRO_COLOR,
52,77,Apiza,The x and y variables are floats. ,INFORM,75,POS,basic,al_draw_text,
52,78,Apiza,"The function al_draw_text Writes the NUL-terminated string text onto the target bitmap at position x, y, using the specified font.",INFORM,77,CONT,functionality,al_draw_text,
53,79,Programmer,What is the coordinate system for x and y?,ELICIT-INFORM,78,FOL,concepts,al_draw_text,
54,80,Apiza,```typedef struct ALLEGRO_COLOR ALLEGRO_COLOR;```\n\n,INFORM,76,PART,basic,ALLEGRO_COLOR,
54,81,Apiza,An ALLEGRO_COLOR structure describes a color in a device independent way. ,INFORM,81,CONT,purpose,ALLEGRO_COLOR,
54,82,Apiza,Use al_map_rgb et al. and al_unmap_rgb et al. to translate from and to various color representations.,INFORM,82,CONT,patterns,ALLEGRO_COLOR al_map_rgb al_unmap_rgb,
55,83,Programmer,What are the parameters for al_map_rgb?,ELICIT-INFORM,82,FOL,basic,al_map_rgb,
56,84,Apiza,I am not sure about the coordinate system for x and y .,INFORM,79,NEG,,al_draw_text,
57,85,Programmer,What is the minimum and maximum value for x and y?,ELICIT-INFORM,84,FOL,directives,al_draw_text,
58,86,Apiza,"```ALLEGRO_COLOR al_map_rgb(\n unsigned char r, unsigned char g, unsigned char b)```\n\n",INFORM,83,POS,basic,al_map_rgb,
58,87,Apiza,"Convert r, g, b (ranging from 0-255) into an ALLEGRO_COLOR, using 255 for alpha.",INFORM,86,CONT,functionality directives,al_map_rgb,
59,88,Apiza,"x and y refer to the pixel coordinates within the display. The coordinate (0,0) refers to the upper-left-most pixel of the display.",INFORM,79,POS,concepts,al_draw_text,
60,89,Programmer,How can I get the height and width of the window?,ELICIT-OFFER-OR-SUGGESTION,88,FOL,patterns,,
61,90,Apiza,These methods should work:\n\n,SUGGEST,89,POS,patterns,,
61,91,Apiza,```int al_get_display_width(ALLEGRO_DISPLAY *display)```\n\n,INFORM,90,CONT,basic,al_get_display_width,
61,92,Apiza,Gets the width of the display.\n\n,INFORM,91,CONT,basic,al_get_display_width,
61,93,Apiza,```int al_get_display_height(ALLEGRO_DISPLAY *display)```\n\n,INFORM,92,CONT,basic,al_get_display_height,
61,94,Apiza,Gets the height of the display.,INFORM,93,CONT,basic,al_get_display_height,
62,95,Programmer,How can I convert an integer from al_get_display_width to a float for coordinate x?,ELICIT-OFFER-OR-SUGGESTION,91,FOL,patterns,al_get_display_width,
63,96,Apiza,al_get_display_width returns an int. ,INFORM,95,POS,basic,al_get_display_width,
63,97,Apiza,This value can cast to a float,INFORM,96,CONT,basic,,
64,98,Programmer,What is the return type of al_draw_text?,ELICIT-INFORM,54,FOL,basic,al_draw_text,
65,99,Apiza,void al_draw_text\n\nVoid return,INFORM,98,POS,basic,al_draw_text,
66,100,Programmer,Can you give me an example to render text?,ELICIT-INFORM,54,FOL,examples,,
67,101,Apiza,"Sure, ",INFORM,100,POS,,,
67,102,Apiza,I will try to put together an example.,OFFER,101,CONT,,,
68,103,Programmer,How can I stop a timer?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
69,104,Programmer,How can I register mouse events?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
70,105,Apiza,al_stop_timer should work:\n\n,SUGGEST,103,POS,patterns,al_stop_timer,
70,106,Apiza,```void al_stop_timer(ALLEGRO_TIMER *timer)```\n\n,INFORM,105,CONT,basic,al_stop_timer,
70,107,Apiza,Stop the timer specified.,INFORM,106,CONT,functionality,al_stop_timer,
71,108,Apiza,I was able to put together an example to Render text:\n\n,INFORM,102,FOL,examples,,
71,109,Apiza,"```al_init_font_addon(); // initialize the font addon\nal_init_ttf_addon();// initialize the ttf (True Type Font) addon\n...\nALLEGRO_DISPLAY *display = al_create_display(640,480);\n...\nALLEGRO_FONT *font = al_load_ttf_font(""pirulen.ttf"",72,0 );\n...\nal_draw_text(font, al_map_rgb(255,255,255), 640/2, (480/4),ALLEGRO_ALIGN_CENTRE, ""Your Text Here!"");```\n\n",INFORM,108,CONT,examples,,
71,110,Apiza,Does this look useful?,ELICIT-ASSESSMENT,109,FOL,,,
72,111,Apiza,There are several Mouse event types:\n\n,INFORM,104,PART,,,
72,112,Apiza,ALLEGRO_EVENT_MOUSE_AXES\nALLEGRO_EVENT_MOUSE_BUTTON_DOWN\nALLEGRO_EVENT_MOUSE_BUTTON_UP\nALLEGRO_EVENT_MOUSE_WARPED\nALLEGRO_EVENT_MOUSE_ENTER_DISPLAY\nALLEGRO_EVENT_MOUSE_LEAVE_DISPLAY,INFORM,111,CONT,structure,ALLEGRO_EVENT_MOUSE_*,
73,113,Programmer,How can I get the state of a timer?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
74,114,Programmer,How can I resume a timer after stopping it?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
75,115,Apiza,I found a few methods to get information about an ALLEGRO_TIMER :\n\n,INFORM,113,PART,,ALLGERO_TIMER,
75,116,Apiza,al_get_timer_started\nal_get_timer_count\nal_get_timer_speed\nal_get_timer_event_source\n\n,INFORM,115,CONT,structure,al_get_timer_started,
75,117,Apiza,I could not find any that return an ALLEGRO_STATE .,INFORM,116,CONT,structure,ALLEGRO_STATE,
76,118,Programmer,What is the return type of al_get_timer_started?,ELICIT-INFORM,116,FOL,basic,al_get_timer_started,
77,119,Apiza,``` void al_resume_timer(ALLEGRO_TIMER *timer)```\n\n,INFORM,114,POS,basic,al_resume_timer,
77,120,Apiza,Resume the timer specified.,INFORM,119,CONT,basic,al_resume_timer,
78,121,Apiza,```bool al_get_timer_started(const ALLEGRO_TIMER *timer)```\n\n,INFORM,118,POS,basic,al_get_timer_started,
78,122,Apiza,Return true if the timer specified is currently started.,INFORM,121,CONT,functionality,al_get_timer_started,
79,123,Programmer,How can I install the mouse driver?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
80,124,Apiza,al_install_mouse\n\n,INFORM,123,POS,,al_install_mouse,
80,125,Apiza,```bool al_install_mouse(void)```\n\n,INFORM,124,CONT,basic,al_install_mouse,
80,126,Apiza,Install a mouse driver.\n\n,INFORM,125,CONT,basic,al_install_mouse,
80,127,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,126,CONT,functionality,al_install_mouse,
81,128,Programmer,How can I load a bitmap?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
82,129,Apiza,The simplest function is al_load_bitmap:\n\n,SUGGEST,128,POS,patterns,al_load_bitmap,
82,130,Apiza,```ALLEGRO_BITMAP *al_load_bitmap(const char *filename)```\n\n,INFORM,129,CONT,basic,al_load_bitmap,
82,131,Apiza,Loads an image file into a new ALLEGRO_BITMAP.,INFORM,130,CONT,functionality,al_load_bitmap,
83,132,Programmer,How can I scale and draw a bitmap?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
84,133,Apiza,There are a few methods that fit:\n\n,INFORM,133,PART,,,
84,134,Apiza,al_draw_scaled_rotated_bitmap\nal_draw_tinted_scaled_rotated_bitmap\nal_draw_tinted_scaled_rotated_bitmap_region\nal_draw_scaled_bitmap\nal_draw_tinted_scaled_bitmap\n\n,INFORM,134,CONT,structure,al_draw_*,
84,135,Apiza,The simplest method is al_draw_scaled_bitmap:\n\n,SUGGEST,133,POS,patterns,al_draw_scaled_bitmap,
84,136,Apiza,"```void al_draw_scaled_bitmap(ALLEGRO_BITMAP *bitmap,\n float sx, float sy, float sw, float sh,\n float dx, float dy, float dw, float dh, int flags)```\n\n",INFORM,135,CONT,basic,al_draw_scaled_bitmap,
84,137,Apiza,Draws a scaled version of the given bitmap to the target bitmap.,INFORM,136,CONT,functionality,al_draw_scaled_bitmap,
85,138,Programmer,"What are the parameters sx, sy, sw, sh, etc.?",ELICIT-INFORM,136,FOL,concepts,al_draw_scaled_bitmap,
86,139,Apiza,The parameters for al_draw_scaled_bitmap:\n\nsx - source x\nsy - source y\nsw - source width\nsh - source height\ndx - destination x\ndy - destination y\ndw - destination width\ndh - destination height\nflags - same as for al_draw_bitmap,INFORM,139,POS,concepts,al_draw_scaled_bitmap,
87,140,Programmer,What does al_set_target_bitmap do?,ELICIT-INFORM,,,functionality,al_set_target_bitmap,
88,141,Apiza,To summarize:\n\nThis function selects the bitmap to which all subsequent drawing operations in the calling thread will draw to.\n\n,INFORM,140,POS,functionality,al_set_target_bitmap,
88,142,Apiza,Would you like the full description?,ELICIT-INFORM,141,FOL,,al_set_target_bitmap,
89,143,Programmer,How can I draw a bitmap onto another bitmap?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
90,144,Programmer,How can I get the width of a bitmap?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
91,145,Apiza,"All al_draw_* functions draw onto the target bitmap. The target bitmap defaults to the display, unless otherwise specified. The target bitmap can be set with al_set_target_bitmap.",INFORM,143,POS,concepts patterns,al_draw_* al_set_target_bitmap,
92,146,Apiza,al_get_bitmap_width\n\n,INFORM,144,POS,,al_get_bitmap_width,
92,147,Apiza,```int al_get_bitmap_width(ALLEGRO_BITMAP *bitmap)```\n\n,INFORM,146,CONT,basic,al_get_bitmap_width,
92,148,Apiza,Returns the width of a bitmap in pixels.,INFORM,147,CONT,basic,al_get_bitmap_width,
93,149,Programmer,Do I need to initialize bitmap before calling al_load_bitmap?,ELICIT-INFORM,129,FOL,directives,al_load_bitmap,
94,150,Apiza,I do not think so. ,INFORM,149,POS,directives,al_load_bitmap,
94,151,Apiza,I found the following example in which al_load_bitmap without al_create_bitmap:\n\n,INFORM,150,CONT,examples,al_load_bitmap al_create_bitmap,
94,152,Apiza,"```\nALLEGRO_BITMAP *image = NULL;\n\n...\n\nal_init_image_addon()\n\n...\n\nimage = al_load_bitmap(""image.png"");```",INFORM,151,CONT,examples,al_load_bitmap,
