line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
60,81,Apiza,* ALLEGRO_PLAYMODE_ONCE\n* ALLEGRO_PLAYMODE_LOOP\n* ALLEGRO_PLAYMODE_BIDIR,INFORM,,,functionality structure,,
61,82,Programmer,How would I display text?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
62,83,Apiza,"I am sorry, ",BE-POSITIVE,,,patterns,,
62,84,Apiza,"there are multiple ways to show text, ",INFORM,,,patterns,,
62,85,Apiza,specifically to which do you refer?,ELICIT-INFORM,,,patterns,,
63,86,Programmer,I would like to display a score on the corner of the screen,INFORM,,,patterns,,
64,87,Apiza,Would you like to draw a font?,ELICIT-INFORM,,,patterns,,
65,88,Programmer,Yes,INFORM,,,patterns,,
66,89,Apiza,Great! ,BE-POSITIVE,,,patterns,,
66,90,Apiza,You can start by initializing fonts. ,SUGGEST,,,patterns,,
66,91,Apiza,This can be done via the functions:\n\nbool al_init_font_addon(void);\nbool al_init_ttf_addon(void);,INFORM,,,patterns,,
67,92,Programmer,Then?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
68,93,Apiza,Have you created a display?,ELICIT-INFORM,,,patterns,,
69,94,Programmer,Yes,INFORM,,,patterns,,
70,95,Apiza,"you can first load in a font using the function:\n\nALLEGRO_FONT* al_load_ttf_font(const char* fpath, int size, int flags);",INFORM,,,patterns,,
71,96,Programmer,Can you elaborate on the flags parameter?,ELICIT-INFORM,,,functionality,,
72,97,Apiza,Here is flag information:\n\n,INFORM,,,functionality concepts directives environment,,
72,98,Apiza,"The following flags are supported:\n\n* ALLEGRO_TTF_NO_KERNING - Do not use any kerning even if the font file\n supports it.\n\n* ALLEGRO_TTF_MONOCHROME - Load as a monochrome font (which means no\n anti-aliasing of the font is done).\n\n* ALLEGRO_TTF_NO_AUTOHINT - Disable the Auto Hinter which is enabled by default\n in newer versions of FreeType. Since: 5.0.6, 5.1.2",INFORM,,,functionality concepts directives environment,,
73,99,Programmer,Then?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
74,100,Apiza,You can draw text using the following function:\n\n,SUGGEST,,,patterns,,
74,101,Apiza,"void al_draw_text(const ALLEGRO_FONT *font,\n ALLEGRO_COLOR color, float x, float y, int flags,\n char const *text)",INFORM,,,patterns,,
75,102,Programmer,Can you give me more information about the color parameter,ELICIT-INFORM,,,basic,,
76,103,Apiza,ALLEGRO_COLOR is a struct containing rgba values. ,INFORM,,,structure basic,,
76,104,Apiza,Would you like the declaration,ELICIT-INFORM,,,structure basic,,
77,105,Programmer,Yes,INFORM,,,structure,,
78,106,Apiza,"* Type: ALLEGRO_COLOR\n */\ntypedef struct ALLEGRO_COLOR ALLEGRO_COLOR;\n\nstruct ALLEGRO_COLOR\n{\n float r, g, b, a;\n};",INFORM,,,structure,,
79,107,Programmer,Can you give more more information about the flags parameter?,ELICIT-INFORM,,,functionality,,
80,108,Apiza,The `flags` parameter can be 0 or one of the following flags:\n\n- ALLEGRO_ALIGN_LEFT - Draw the text left-aligned (same as 0).\n- ALLEGRO_ALIGN_CENTRE - Draw the text centered around the given position.\n- ALLEGRO_ALIGN_RIGHT - Draw the text right-aligned to the given position.,INFORM,,,functionality directives,,
81,109,Programmer,What is a typical font size for ALLEGRO_FONT,ELICIT-INFORM,,,patterns,,
82,110,Apiza,It depends on your screen. ,INFORM,,,patterns,,
82,111,Apiza,"I would suggest trying a bunch of values. Typically, I would suggest 72",SUGGEST,,,patterns,,
83,112,Programmer,"How big are the numbers r, g, b, and a typically are for ALLEGRO_COLOR",ELICIT-INFORM,,,patterns,,
84,113,Apiza,"rgb are typically within [0,255]. ",INFORM,,,directives patterns,,
84,114,Apiza,Allegro5 supports utility functions to map rbg values to an ALLEGRO_COLOR struct instance,INFORM,,,directives patterns,,
85,115,Programmer,Can you show my the utility functions?,ELICIT-INFORM,,,structure,,
86,116,Apiza,"One such utility is:\n\nALLEGRO_COLOR al_map_rgb(float r, float g, float b)",INFORM,,,structure,,
87,117,Programmer,My al_draw_text is not drawing,INFORM,,,functionality,,
88,118,Apiza,"I am unsure, ",INFORM,,,,,
88,119,Apiza,please specify,SUGGEST,,,,,
